English, Hex: HEX, RGB: RGB
Green beige, Hex: #BEBD7F, RGB: 190-189-127
Beige, Hex: #C2B078, RGB: 194-176-120
Sand yellow, Hex: #C6A664, RGB: 198-166-100
Signal yellow, Hex: #E5BE01, RGB: 229-190-001
Golden yellow, Hex: #CDA434, RGB: 205-164-052
Honey yellow, Hex: #A98307, RGB: 169-131-007
Maize yellow, Hex: #E4A010, RGB: 228-160-016
Daffodil yellow, Hex: #DC9D00, RGB: 220-156-000
Brown beige, Hex: #8A6642, RGB: 138-102-066
Lemon yellow, Hex: #C7B446, RGB: 199-180-070
Oyster white, Hex: #EAE6CA, RGB: 234-230-202
Ivory, Hex: #E1CC4F, RGB: 225-204-079
Light ivory, Hex: #E6D690, RGB: 230-214-144
Sulfur yellow, Hex: #EDFF21, RGB: 237-255-033
Saffron yellow, Hex: #F5D033, RGB: 245-208-051
Zinc yellow, Hex: #F8F32B, RGB: 248-243-053
Grey beige, Hex: #9E9764, RGB: 158-151-100
Olive yellow, Hex: #999950, RGB: 153-153-080
Traffic yellow, Hex: #FAD201, RGB: 250-210-001
